City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Kapaa,US,22.0752,-159.319,71.6,49,1,21.85
Burnie,AU,-41.0667,145.9167,54.0,68,22,11.81
Batagay,RU,67.6333,134.6333,-21.53,81,100,2.39
Siavonga,ZM,-16.5382,28.7088,74.86,88,100,1.25
Bariloche,AR,-41.1456,-71.3082,80.6,24,0,2.3
Sitia,GR,35.2,26.0986,61.0,74,0,8.41
Tuatapere,NZ,-46.1333,167.6833,52.23,89,100,7.43
Balad,IQ,34.0164,44.1453,60.53,50,38,4.92
Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,25.32
Barrow,US,71.2906,-156.7887,-29.2,68,1,13.8
Chincha Alta,PE,-13.4099,-76.1323,78.8,61,0,14.97
Galion,US,40.7337,-82.7899,23.0,79,90,6.91
Qui Nhon,VN,13.7667,109.2333,69.89,86,53,11.27
Ilorin,NG,8.5,4.55,87.8,18,0,6.91
Mandera,KE,3.9366,41.867,83.64,27,63,9.78
Torbay,CA,47.6666,-52.7314,34.0,86,90,31.07
Northam,GB,51.0333,-4.2167,33.01,70,100,14.0
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,100,90,6.71
Hammerfest,NO,70.6634,23.6821,21.2,68,75,17.27
Nehe,CN,48.4833,124.8333,8.01,94,98,4.14
Hasaki,JP,35.7333,140.8333,32.0,59,20,4.61
Zyryanka,RU,65.75,150.85,-20.96,86,0,0.94
Lagoa,PT,39.05,-27.9833,61.02,91,100,30.24
Vanimo,PG,-2.6741,141.3028,77.61,83,36,4.47
Irituia,BR,-1.7711,-47.4381,78.22,93,96,2.71
Hithadhoo,MV,-0.6,73.0833,82.47,78,76,11.23
Karratha,AU,-20.7377,116.8463,81.77,50,2,15.64
Kawalu,ID,-7.3817,108.2082,72.18,91,99,0.85
Agirish,RU,61.9247,63.0231,-25.01,86,0,4.52
Banes,CU,20.9625,-75.7186,87.8,37,20,18.41
Kilindoni,TZ,-7.9139,39.6668,82.62,77,100,20.45
Celestún,MX,20.8667,-90.4,79.72,71,25,14.92
Avarua,CK,-21.2078,-159.775,84.2,79,100,6.91
Talnakh,RU,69.4865,88.3972,-11.27,87,100,1.72
Sarti,GR,40.1,23.9833,58.6,73,100,16.67
Kavaratti,IN,10.5669,72.642,80.67,66,0,5.46
Chapais,CA,49.7834,-74.8492,10.4,72,90,3.44
Atambua,ID,-9.1061,124.8925,75.06,89,100,1.59
Palu,ID,-0.8917,119.8707,75.15,77,41,2.77
Haines Junction,CA,60.7522,-137.5108,-22.0,52,77,2.19
Portland,US,45.5234,-122.6762,45.0,70,100,1.99
Meulaboh,ID,4.1363,96.1285,77.59,85,15,4.59
Panguna,PG,-6.3164,155.4848,72.86,96,57,2.86
Krasnoarmeysk,RU,51.0239,45.6969,6.01,54,100,11.99
Jertih,MY,5.7336,102.4897,77.0,88,20,3.44
Pangnirtung,CA,66.1451,-65.7125,5.0,85,20,5.75
El Salvador,SV,13.8333,-88.9167,89.6,65,20,12.66
Mattru,SL,7.6244,-11.8332,79.36,79,32,5.79
Playas,EC,-2.6333,-80.3833,79.18,80,76,16.42
Shimoda,JP,34.6667,138.95,40.39,70,56,7.07
Bredasdorp,ZA,-34.5322,20.0403,64.4,82,11,2.3
Katangli,RU,51.7102,143.2326,2.93,93,84,13.02
Yulara,AU,-25.2406,130.9889,84.2,58,32,5.86
Partsa,RU,54.3653,42.8617,7.79,95,100,10.69
Shingū,JP,33.7333,135.9833,36.23,82,53,6.17
Pratāpgarh,IN,24.0333,74.7833,62.31,31,44,2.82
Dzilam González,MX,21.2833,-88.9333,90.01,45,11,8.7
Verāval,IN,20.9,70.3667,69.21,42,54,11.34
Saint Paul Harbor,US,57.79,-152.4072,32.0,80,90,2.24
Pervomayskiy,RU,53.2485,40.2871,5.0,76,100,10.83
Ossora,RU,59.2353,163.0719,28.56,97,100,41.9
Pingliang,CN,35.5392,106.6861,34.7,84,0,1.9
Kirby,US,29.4633,-98.3856,75.2,53,75,5.75
Marsabit,KE,2.3284,37.9899,72.43,48,53,9.71
Tiarei,PF,-17.5333,-149.3333,86.0,62,20,11.5
Jaciara,BR,-15.9653,-54.9683,82.0,55,88,3.51
Hokitika,NZ,-42.7167,170.9667,56.59,80,99,6.6
Asău,RO,46.4333,26.4,36.0,93,0,2.3
Liverpool,GB,53.4106,-2.9779,32.0,80,75,12.66
Coyhaique,CL,-45.5752,-72.0662,89.6,27,40,6.91
Te Anau,NZ,-45.4167,167.7167,47.32,88,99,1.63
Chillicothe,US,39.3331,-82.9824,30.0,80,90,5.75
Carnarvon,AU,-24.8667,113.6333,73.4,100,40,19.57
Nanortalik,GL,60.1432,-45.2371,29.55,86,85,17.22
Bajil,YE,15.0584,43.2851,75.67,65,13,4.07
Abu Samrah,SY,35.3029,37.1841,57.79,58,100,3.49
Kanniyākumāri,IN,8.0833,77.5667,75.52,65,97,20.92
Porlamar,VE,10.958,-63.8491,77.94,71,0,16.87
Praia,CV,14.9215,-23.5087,69.8,73,0,23.02
Saskylakh,RU,71.9167,114.0833,-24.43,83,0,8.77
Westport,US,41.1415,-73.3579,32.0,86,90,11.5
Scarborough,GB,54.2797,-0.4044,33.01,69,95,7.0
Arraial do Cabo,BR,-22.9661,-42.0278,73.4,88,90,2.3
Talpa,MX,28.8257,-111.6257,81.0,24,49,5.01
Fortuna,US,40.5982,-124.1573,55.99,87,90,4.68
Tanhaçu,BR,-14.0214,-41.2481,74.53,82,35,7.72
Ixtapa,MX,20.7,-105.2,73.4,78,1,13.8
Kavieng,PG,-2.5744,150.7967,82.83,78,99,10.87
Itanagar,IN,27.1,93.6167,57.61,54,0,3.62
Quelimane,MZ,-17.8786,36.8883,82.4,61,20,3.0
Francistown,BW,-21.17,27.5079,71.6,83,40,8.05
George Town,MY,5.4112,100.3354,80.6,89,20,1.14
Muros,ES,42.7762,-9.0603,52.0,86,99,5.01
Havelock,US,34.8791,-76.9013,66.0,82,90,5.75
Luanda,AO,-8.8368,13.2343,80.6,83,75,6.91
Diego de Almagro,CL,-26.3667,-70.05,82.2,24,0,14.34
Taoudenni,ML,22.6783,-3.9836,68.25,21,0,10.96
East London,ZA,-33.0153,27.9116,72.03,77,0,3.96
Marsá Maţrūḩ,EG,31.3525,27.2453,55.4,88,0,6.33
Puli,TW,23.9664,120.9695,64.0,88,75,4.9
Manyana,BW,-23.4,21.7167,71.4,77,100,5.79
Katrineholm,SE,58.9959,16.2072,17.6,73,100,13.8
Gaza,PS,31.5,34.4667,63.0,45,0,2.13
Jalu,LY,29.0331,21.5482,61.09,29,100,7.65
Saldanha,ZA,-33.0117,17.9442,66.2,72,0,13.8
Ancud,CL,-41.8697,-73.8203,78.8,41,0,10.36
Mount Gambier,AU,-37.8333,140.7667,53.6,100,0,5.75
Hof,DE,50.3167,11.9167,10.0,86,82,3.0
Kano,NG,12.0001,8.5167,69.8,46,0,3.44
Koumac,NC,-20.5667,164.2833,80.04,66,9,8.21
Weinan,CN,34.5036,109.5089,41.0,93,0,2.24
Mangai,CD,-4.05,19.5333,75.69,78,100,1.32
Ballina,AU,-28.8667,153.5667,66.2,88,75,6.91
Alvarães,BR,-3.2208,-64.8042,80.6,83,40,5.75
Fukuechō,JP,32.6881,128.8419,50.09,58,79,11.23
Bizhbulyak,RU,53.6967,54.2642,-12.3,86,41,5.7
Stornoway,GB,58.2093,-6.3865,33.8,64,75,11.5
Digha,IN,21.6833,87.55,64.27,58,0,5.03
Avera,US,33.194,-82.5271,68.0,82,90,5.75
Mandalgovi,MN,45.7625,106.2708,22.01,83,61,12.35
Kortkeros,RU,61.8106,51.5806,-14.8,84,40,4.47
Tarija,BO,-21.5355,-64.7296,60.8,82,90,9.22
Mumford,GH,5.2618,-0.759,82.18,82,52,11.3
Banská Štiavnica,SK,48.4486,18.91,32.0,94,87,1.99
Kapoeta,SS,4.7717,33.5903,82.29,39,49,7.83
Seymchan,RU,62.8833,152.4333,-10.21,87,89,8.12
Barstow,US,34.8986,-117.0228,64.0,19,1,4.61
Port Lincoln,AU,-34.7333,135.8667,69.87,60,2,7.92
Sukhoy Log,RU,56.9094,62.0296,-17.01,86,96,6.73
Chivay,PE,-15.6383,-71.6011,52.99,61,72,12.39
Clearwater,US,27.9659,-82.8001,78.8,73,86,4.61
Dondo,MZ,-19.6094,34.7431,80.6,89,40,5.75
Batemans Bay,AU,-35.7167,150.1833,60.01,94,100,1.01
Tres Picos,MX,15.8667,-93.5333,87.85,48,47,9.04
Faya,SA,18.3851,42.4509,50.0,76,0,3.98
Praia da Vitória,PT,38.7333,-27.0667,62.6,88,75,22.86
Roald,NO,62.5833,6.1333,26.6,68,40,11.5
Tuktoyaktuk,CA,69.4541,-133.0374,-38.2,67,20,9.22
Umm Kaddadah,SD,13.6017,26.6876,68.56,26,99,11.7
Chkalovskoye,RU,44.8392,133.0436,1.6,93,19,4.79
Aswān,EG,24.0934,32.907,67.98,42,34,6.24
Korla,CN,41.7597,86.1469,29.41,85,71,3.44
Cody,US,44.5263,-109.0565,8.6,61,75,5.66
San Felipe,VE,10.3399,-68.7425,77.41,68,41,9.35
São João da Barra,BR,-21.6403,-41.0511,75.2,83,75,8.05
Rio Grande,BR,-32.035,-52.0986,77.0,69,40,5.75
Betsiamites,CA,48.9413,-68.646,17.6,25,1,9.22
Wolgast,DE,54.05,13.7667,19.99,82,100,2.62
Nouadhibou,MR,20.931,-17.0347,64.4,82,0,18.41
Gisborne,NZ,-38.6533,178.0042,73.99,63,100,8.01
Touros,BR,-5.1989,-35.4608,84.2,65,20,14.97
Lianzhou,CN,24.7811,112.3825,52.63,88,100,1.66
Kaeo,NZ,-35.1,173.7833,69.01,95,100,8.99
Nacogdoches,US,31.6002,-94.6335,66.99,94,90,6.91
Mindelo,CV,16.8901,-24.9804,69.8,68,75,20.71
Siuna,NI,13.7332,-84.7773,76.28,87,96,4.68
Mosetse,BW,-20.75,26.65,69.31,80,98,9.33
Lagoa da Canoa,BR,-9.8297,-36.7378,79.03,60,8,16.08
Alofi,NU,-19.0595,-169.9187,80.6,89,75,8.05
Anadyr,RU,64.75,177.4833,3.2,78,0,2.24
Port Moresby,PG,-9.4431,147.1797,75.2,94,20,6.91
Mogocha,RU,53.7333,119.7667,-2.07,91,48,2.19
Zaysan,KZ,47.4667,84.8667,10.4,95,100,3.62
Leh,IN,34.1667,77.5833,20.3,86,100,2.84
Makhalino,RU,53.0854,46.2211,3.52,93,100,15.05
Richards Bay,ZA,-28.783,32.0377,75.15,92,91,3.2
Port Keats,AU,-14.25,129.55,78.13,85,99,3.47
Srednekolymsk,RU,67.45,153.6833,-14.71,87,0,6.33
Belle Fourche,US,44.6714,-103.8522,3.0,71,1,6.91
Kenai,US,60.5544,-151.2583,8.01,72,90,10.36
Lipari,IT,38.4674,14.954,57.0,87,14,4.0
Bandar-e Lengeh,IR,26.5579,54.8807,69.48,53,0,10.29
Forsytheganj,BY,52.6333,29.7333,8.58,96,87,4.38
Lüderitz,NA,-26.6481,15.1594,69.85,67,0,12.48
Timrå,SE,62.487,17.3257,17.6,79,90,8.05
Salalah,OM,17.0151,54.0924,75.2,60,0,1.14
Kyren,RU,51.6828,102.1408,19.0,89,100,0.6
Coquimbo,CL,-29.9533,-71.3436,66.2,72,0,13.8
Arica,CL,-18.475,-70.3042,73.4,64,0,12.66
Vilhena,BR,-12.7406,-60.1458,73.4,100,20,8.05
San Cristobal,VE,7.7669,-72.225,86.0,54,40,11.5
Florianópolis,BR,-27.6146,-48.5012,80.6,69,20,11.5
Enshi,CN,30.3,109.4833,49.01,82,99,1.59
Zhangye,CN,38.9342,100.4517,31.24,74,44,1.66
Altay,CN,47.8667,88.1167,20.46,93,100,5.5
Coahuayana Viejo,MX,18.7333,-103.6833,80.6,41,40,7.61
Tokmak,UA,47.2514,35.7058,32.56,96,24,6.64
Port-Gentil,GA,-0.7193,8.7815,82.4,89,20,2.3
Cotacachi,EC,0.3,-78.2667,75.2,43,75,19.57
Beringovskiy,RU,63.05,179.3167,-9.54,90,97,11.45
Ţahţā,EG,26.7693,31.5021,66.2,45,0,5.75
Thompson,CA,55.7435,-97.8558,-20.2,57,75,9.22
Río Gallegos,AR,-51.6226,-69.2181,75.2,38,0,10.36
Tautira,PF,-17.7333,-149.15,86.0,62,20,11.5
Oktyabr'skoye,RU,43.0645,44.7417,26.6,100,11,4.47
Ponta do Sol,PT,32.6667,-17.1,59.0,64,83,1.01
Sibu,MY,2.3,111.8167,77.0,94,40,0.76
Wāris Alīganj,IN,25.0167,85.6333,56.01,66,0,5.46
Abu Kamal,SY,34.4506,40.9171,61.65,37,0,7.4
Aracaju,BR,-10.9111,-37.0717,82.4,65,40,9.22
Taiyuan,CN,37.8694,112.5603,21.2,68,0,2.24
Ocós,GT,14.5094,-92.1933,91.4,55,40,11.5
Bilibino,RU,68.0546,166.4372,-6.88,87,0,3.38
Kosa,RU,59.9445,54.9977,-23.26,87,78,5.08
Halifax,CA,44.6453,-63.5724,26.6,39,75,11.5
Synya,RU,65.3718,58.0387,-23.6,86,97,3.56
Agüimes,ES,27.9054,-15.4461,64.4,68,20,6.91
Marystown,CA,47.1666,-55.1483,28.65,92,58,31.92
Kindersley,CA,51.4668,-109.1682,-16.6,76,90,21.85
Quthing,LS,-30.4,27.7003,67.77,59,15,6.62
Noumea,NC,-22.2763,166.4572,80.01,88,75,2.3
Ust'-Omchug,RU,61.15,149.6333,-2.0,88,100,11.72
Erzin,TR,36.9559,36.2,62.01,64,0,4.0
Constantine,DZ,36.365,6.6147,53.6,62,0,13.8
Szécsény,HU,48.0806,19.5202,34.0,92,100,1.01
Parabel',RU,58.6978,81.4825,-5.31,91,100,5.91
Sabha,LY,27.0377,14.4283,60.64,29,40,7.0
Kushmurun,KZ,52.4503,64.6311,-15.54,85,0,6.96
Bluefields,NI,12.0137,-83.7635,86.0,70,75,4.61
Slave Lake,CA,55.2834,-114.769,-16.6,63,90,23.02
Luebo,CD,-5.35,21.4167,75.4,76,100,1.63
Jacqueville,CI,5.2052,-4.4146,82.4,89,20,6.91
Katsuura,JP,35.1333,140.3,39.2,38,20,11.5
Vestmannaeyjar,IS,63.4427,-20.2734,38.59,76,100,14.12
Grimshaw,CA,56.1834,-117.6027,-20.2,63,75,12.66
Great Falls,US,47.5002,-111.3008,-9.99,70,75,5.75
La Maná,EC,-0.9333,-79.2167,60.8,55,75,8.05
Ishigaki,JP,24.3448,124.1572,68.31,75,94,19.26
Imbituba,BR,-28.24,-48.6703,80.6,69,20,11.5
Davila,PH,18.4726,120.5763,74.82,79,100,12.91
Qinhuangdao,CN,39.9317,119.5883,34.7,73,0,7.16
Saint-Augustin,CA,51.226,-58.6502,23.99,97,100,16.62
Ulladulla,AU,-35.35,150.4667,61.0,100,75,9.22
Nālūt,LY,30.3333,10.85,55.17,35,1,4.36
Moranbah,AU,-22.0016,148.0466,72.93,79,7,14.72
Tuxpan,MX,19.55,-103.4,80.6,41,40,6.24
Lamu,KE,-2.2717,40.902,78.8,83,1,12.19
Emiliano Zapata,MX,18.8333,-99.1833,84.2,28,1,4.61
Puerto Nariño,CO,-3.7703,-70.3831,82.4,83,75,4.61
Emerald,AU,-23.5333,148.1667,75.2,78,90,6.91
Ratnagiri,IN,16.9833,73.3,72.86,40,0,6.96
Namatanai,PG,-3.6667,152.4333,79.81,83,94,4.27
Gawler,AU,-34.6,138.7333,69.01,40,0,7.0
Mbengwi,CM,6.0167,10.0,65.53,36,0,1.03
Natá,PA,8.3333,-80.5167,89.6,58,20,9.22
Atbasar,KZ,51.8,68.3333,-25.08,86,26,10.16
Sola,VU,-13.8833,167.55,81.88,73,100,3.87
Gamba,GA,-2.65,10.0,77.07,88,100,4.7
Teguise,ES,29.0605,-13.564,66.2,72,40,4.61
Juneau,US,58.3019,-134.4197,6.8,33,20,20.71
Klaksvík,FO,62.2266,-6.589,26.6,80,20,5.75
Khandyga,RU,62.6667,135.6,-22.22,85,62,1.92
Sambava,MG,-14.2667,50.1667,76.95,88,100,5.46
Ruwi,OM,23.5996,58.5507,68.0,88,0,2.3
Malbork,PL,54.0359,19.0266,16.0,92,75,3.44
Provideniya,RU,64.3833,-173.3,-5.71,77,0,15.08
Maiduguri,NG,11.8464,13.1603,72.99,20,41,9.53
Comodoro Rivadavia,AR,-45.8667,-67.5,80.6,39,0,13.8
Harper,LR,4.375,-7.7169,79.95,83,89,5.12
Dalby,AU,-27.1833,151.2667,62.6,77,1,6.91
Adrar,MR,20.5022,-10.0711,66.34,23,58,8.79
Oga,IT,46.4631,10.347,41.0,86,90,4.61
Merauke,ID,-8.4667,140.3333,78.31,88,100,10.02
Thaton,MM,16.9206,97.3714,63.77,49,3,4.25
Ostrovnoy,RU,68.0531,39.5131,4.78,90,100,15.93
Nemuro,JP,43.3236,145.575,20.61,88,58,13.87
Doha,QA,25.2867,51.5333,66.2,82,0,10.36
Coffs Harbour,AU,-30.3,153.1333,64.4,88,76,10.36
Borogontsy,RU,62.6683,131.1683,-25.56,85,13,5.41
Opuwo,NA,-18.0607,13.84,72.14,65,100,4.61
Apac,UG,1.9756,32.5386,79.03,44,67,7.65
Krosno Odrzańskie,PL,52.0549,15.0988,17.6,93,90,1.14
Rosetta,EG,31.4044,30.4164,62.6,94,0,6.91
Nsukka,NG,6.8561,7.3927,86.0,54,20,3.44
Mangochi,MW,-14.4782,35.2645,73.27,90,100,4.43
Santa Ana,US,33.7456,-117.8678,59.0,67,90,3.44
Taltal,CL,-25.4,-70.4833,70.18,64,34,6.42
Port Hedland,AU,-20.3167,118.5667,78.8,89,98,8.05
Yalutorovsk,RU,56.6536,66.3006,-9.89,89,100,8.08
Flin Flon,CA,54.7682,-101.865,-14.8,58,75,12.66
Kaitong,CN,44.8135,123.15,12.24,93,97,4.18
Sar-e Pul,AF,35.8333,66.1667,41.11,55,5,6.15
Assiut,EG,27.181,31.1837,66.2,42,0,5.75
Soller,ES,39.7662,2.7152,57.99,85,100,7.0
Vítkov,CZ,49.7744,17.7494,21.2,86,90,3.44
Manado,ID,1.487,124.8455,75.2,94,20,2.3
Madimba,TZ,-10.4,40.3333,79.29,88,100,10.71
Nioro,GM,13.35,-15.75,84.58,14,98,6.98
Bac Giang,VN,21.2667,106.2,57.2,94,75,2.3
Grand Gaube,MU,-20.0064,57.6608,77.0,78,7,3.0
